magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
6.8,4,4,1,776,0,1.505,36,10,49.3346,-129.289
6.5,3,4,1,669,0,1.611,63,10,49.2586,-129.412
6.5,0,4,1,650,0,2.109,22,17,-21.7427,169.522
6.7,0,3,1,691,0,2.705,17,461,52.8549,153.243
6.5,0,4,1,650,0,3.923,14,20,49.2902,156.297
7,6,6,1,758,0,1.778,18,39,-5.7012,151.205
6.7,2,3,1,691,0,3.745,23,550,-18.3604,-178.063
7.5,8,8,0,2026,0,1.649,13,20,-0.2559,119.846
6.5,4,1,0,651,0,5.139,18,576,-25.415,178.199
6.9,3,4,0,735,0,2.785,18,115,-31.7447,-179.373
6.5,3,6,1,651,0,1.638,25,68,-10.0207,161.503
7.9,7,4,1,979,0,1.431,12,670.81,-18.4743,179.35
6.6,8,9,1,1075,0,1.13,32,35,42.6861,141.929
7.1,2,5,1,776,0,2.548,23,21.43,-22.0295,170.126
7.1,0,3,0,776,0,3.77,12,630,-11.0355,-70.8284
6.5,6,7,1,652,0,4.797,10,9,-16.0315,168.143
7.3,8,6,1,1570,0,1.822,15,146.82,10.7731,-62.9019
6.9,7,7,0,1206,0,2.453,31,21,-8.319,116.627
8.2,5,4,1,1050,0,3.63,13,600,-18.1125,-178.153
6.5,5,3,0,743,0,2.719,23,529,-7.3718,119.802
6.5,6,6,1,655,0,0.576,22,33.93,51.4234,-178.026
6.9,9,8,0,1704,0,2.271,15,34,-8.2581,116.438
6.9,7,8,1,1392,63,0.11,210,5.81,19.3182,-155
6.8,5,3,0,733,0,5.32,16,559,-20.6588,-63.0058
6.9,9,6,1,741,0,1.487,18,35,-5.5321,151.5
6.7,5,6,1,696,0,1.507,15,40,-5.5024,151.402
6.8,6,6,1,719,0,1.049,16,22.86,-4.3762,153.2
6.7,8,7,1,697,0,5.457,19,20.49,-6.3043,142.612
7.5,9,8,1,943,0,5.48,17,25.21,-6.0699,142.754
7.2,7,7,1,1384,0,0.142,82,22,16.3855,-97.9787
7.9,9,4,1,1870,0,2.585,30,14.06,56.0039,-149.166
7.1,9,7,1,1075,0,4.29,23,39,-15.7675,-74.7092
7.5,8,5,1,1623,0,4.581,12,19,17.4825,-83.52
6.5,8,7,0,998,0,2.365,28,90,-7.4921,108.174
6.5,1,5,1,651,0,17.654,23,17,-54.2189,2.1628
7,4,6,1,771,0,0.617,14,10,-21.3246,168.671
6.6,4,5,1,676,0,0.529,21,13,-21.5027,168.598
6.5,8,8,1,1153,0,0.225,37,19.36,9.5147,-84.4865
7.3,8,9,0,2790,0,0.284,33,19,34.9109,45.9592
6.5,6,5,1,661,0,4.449,10,110.57,-4.2433,143.485
6.8,5,5,1,727,0,4.852,21,10,-15.3197,-173.168
6.6,3,5,1,674,0,0.788,29,22,-21.6484,168.859
6.7,3,4,1,691,0,1.062,55,24,-21.6971,169.148
6.7,3,3,0,694,0,1.634,16,553.81,-7.2168,123.074
6.5,3,5,1,651,0,1.154,11,119,52.3909,176.769
7.1,9,8,0,1686,0,0.984,23,48,18.5499,-98.4887
8.2,9,7,1,2910,0,0.944,22,47.39,15.0222,-93.8993
6.5,5,7,0,707,0,11.411,22,9,33.1926,103.855
6.6,7,7,0,1064,0,0.913,16,7,36.9293,27.4139
7.7,8,7,1,918,0,3.564,13,10,54.4434,168.857
6.6,5,4,1,704,0,3.773,37,10,-49.4837,164.016
6.5,9,8,1,740,0,4.139,30,9,11.1269,124.629
6.8,6,6,1,1034,0,1.065,38,38.12,13.7174,-90.9718
6.9,8,6,1,1188,0,0.247,35,93,14.9091,-92.0092
6.8,0,4,1,711,0,2.308,12,5,54.0312,170.92
6.6,7,7,0,678,0,2.353,18,12,-1.2923,120.431
6.5,0,4,1,650,0,6.489,17,15,-56.414,-25.7432
6.8,6,5,1,713,0,7.495,19,169,-14.5884,167.377
6.9,9,6,1,814,0,1.636,14,26,5.5043,125.066
6.9,9,7,1,1642,0,0.356,39,28,-33.0375,-72.0617
6.5,7,8,0,1297,0,2.36,15,29,-22.6784,25.1558
6.6,6,7,1,671,0,4.591,14,17,56.9401,162.786
6.9,2,3,1,733,0,6.012,19,414.5,-23.2593,-178.804
6.5,3,3,0,653,0,4.242,14,595.98,-19.2814,-63.9047
6.5,8,7,1,718,0,2.822,36,15,9.9071,125.452
7.9,9,7,1,987,0,3.625,9,135,-6.2464,155.172
6.5,6,6,1,654,0,1.64,21,36,-10.3506,161.335
7.3,6,3,1,849,0,3.813,18,627.17,4.4782,122.617
6.9,6,4,1,742,0,2.495,13,12,-19.3733,176.052
7.6,9,8,1,1152,0,0.355,29,38,-43.4064,-73.9413
6.7,5,5,0,726,0,3.38,17,152,-7.5082,127.921
7.9,9,7,1,972,0,1.389,13,94.54,-4.5049,153.522
6.9,8,6,1,737,0,1.747,26,19.73,-10.749,161.132
6.5,0,5,0,650,0,1.937,18,12.26,-10.8416,161.314
7.8,9,8,1,961,0,1.836,13,40,-10.6812,161.327
6.6,5,4,1,1120,0,1.405,55,8.45,40.4535,-126.194
6.5,9,8,0,731,0,0.778,27,13,5.2834,96.1678
6.6,8,7,0,693,0,1.697,20,17,39.2732,73.9776
6.9,5,4,1,855,0,1.796,20,10,11.9097,-88.8968
6.9,9,6,1,1144,0,0.671,10,9,37.3931,141.387
6.5,7,7,1,664,0,0.283,56,9,-42.6058,173.254
6.5,6,7,1,656,0,0.135,58,10,-42.3205,173.669
7.8,9,9,1,1545,0,0.481,21,15.11,-42.7373,173.054
6.6,9,8,0,2840,0,0.174,25,8,42.8621,13.0961
6.6,3,3,0,677,0,2.022,16,614,-4.8626,108.163
6.8,3,6,1,716,0,3.727,11,42,-6.0033,148.887
6.9,2,3,1,733,0,4.051,9,596.4,-19.7819,-178.244
7,5,6,1,897,0,0.698,21,19,-37.3586,179.146
6.8,4,3,1,713,0,0.803,12,476,-3.6849,152.792
6.8,6,6,0,981,0,1.802,17,82,20.9228,94.569
7.2,6,5,1,799,0,4.823,14,16.37,-22.4765,173.117
7.7,5,6,1,971,0,3.294,14,196,18.5429,145.507
6.6,4,6,0,671,0,2.435,16,50,-2.0967,100.665
7.2,1,6,1,798,0,5.803,24,78,-56.2409,-26.9353
6.9,3,3,1,733,0,5.485,19,405.69,-21.9724,-178.204
6.9,8,7,1,780,0,1.192,17,29.95,0.4947,-79.616
6.7,5,7,1,744,0,1.352,21,16,0.4261,-79.7899
7,7,7,1,755,0,0.616,14,24,-16.0429,167.379
